time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,-0.0023660124,-104.621,0.00218161,0.00232327,0.00232714,0.00232724,0.00232725,2.18161e-05,2.32327e-05,2.32714e-05,2.32724e-05,2.32725e-05,2.18161e-07,2.32327e-07,2.32714e-07,2.32724e-07,2.32725e-07
0.02,-0.0023434041,-437.744,0.00150419,0.0022164,0.00225602,0.0022576,0.00225775,5.86741e-05,6.86294e-05,6.9103e-05,6.91208e-05,6.91225e-05,1.02306e-06,1.15095e-06,1.15646e-06,1.15666e-06,1.15667e-06
0.04,-0.0023057508,-893.558,0.00055544,0.00203342,0.00222013,0.00223161,0.00223298,7.92704e-05,0.000111128,0.000113864,0.000114013,0.00011403,2.40251e-06,2.94852e-06,2.98613e-06,2.98799e-06,2.9882e-06
0.06,-0.0023124114,-1342.16,0.000275112,0.00181934,0.0023514,0.00240377,0.00241176,8.75759e-05,0.000149655,0.00015958,0.000160367,0.000160477,4.07097e-06,5.55635e-06,5.72057e-06,5.73179e-06,5.73327e-06
0.08,-0.0025252343999999996,-1843.47,0.000739992,0.00145716,0.00246364,0.00263082,0.00266344,9.77269e-05,0.00018242,0.00020773,0.000210713,0.000211229,5.924e-06,8.8771e-06,9.39367e-06,9.44258e-06,9.45033e-06
0.1,-0.0028213965,-2466.02,0.000743697,0.000788112,0.00207819,0.00247133,0.00257039,0.000112564,0.000204873,0.000253149,0.000261734,0.000263568,8.02691e-06,1.275e-05,1.40025e-05,1.4167e-05,1.41983e-05
0.12,-0.0028006598999999995,-3152.61,2.49042e-06,0.000183216,0.00124318,0.00193828,0.00216743,0.000120026,0.000214586,0.000286362,0.00030583,0.000310946,1.03528e-05,1.69446e-05,1.93976e-05,1.98427e-05,1.99434e-05
0.14,-0.0025407434999999996,-3812.53,-0.000358999,7.25896e-05,0.00048127,0.00139773,0.00180172,0.000116461,0.000217144,0.000303607,0.00033919,0.000350637,1.27177e-05,2.12619e-05,2.52973e-05,2.62929e-05,2.65593e-05
0.16,-0.0024734132999999995,-4445.52,9.47702e-05,0.000225635,6.74304e-05,0.000915761,0.00144017,0.000113818,0.000220126,0.000309094,0.000362325,0.000383056,1.50205e-05,2.56346e-05,3.14243e-05,3.33081e-05,3.38962e-05
0.18,-0.0026746389,-5113.1,0.000509852,0.000229174,-4.69101e-05,0.000368953,0.000807391,0.000119865,0.000224675,0.000309299,0.000375172,0.000405532,1.73573e-05,3.00826e-05,3.76082e-05,4.0683e-05,4.17821e-05
0.2,-0.0029325816,-5816.13,-0.000251788,-0.000503014,-0.0006263,-0.000827699,-0.000754902,0.000122445,0.000221936,0.000302567,0.000370585,0.000406057,1.97804e-05,3.45488e-05,4.37268e-05,4.81406e-05,4.9898e-05
0.22,-0.0025099956,-6440.84,-0.00150407,-0.00166084,-0.00178096,-0.00247485,-0.00290223,0.000104887,0.000200298,0.000278494,0.000337559,0.000369485,2.20537e-05,3.87711e-05,4.95375e-05,5.5222e-05,5.76534e-05
0.24,-0.0014968499999999999,-6878.01,-0.00166043,-0.00227384,-0.00266876,-0.00355836,-0.00429904,7.32416e-05,0.000160951,0.000233997,0.000277227,0.000297473,2.3835e-05,4.23836e-05,5.46624e-05,6.13699e-05,6.4323e-05
0.26,-0.0009125736,-7162.25,-0.000890124,-0.00227368,-0.00304371,-0.00389909,-0.00454063,4.7736e-05,0.000115476,0.000176872,0.000202653,0.000209076,2.50448e-05,4.51478e-05,5.87711e-05,6.61687e-05,6.93884e-05
0.28,-0.0009890124,-7341.77,-0.00169431,-0.00343966,-0.004574,-0.00530529,-0.00555506,2.18917e-05,5.83423e-05,0.000100695,0.000110609,0.000108119,2.5741e-05,4.6886e-05,6.15467e-05,6.93013e-05,7.25604e-05
0.3,0.00011873972999999999,-7308.24,-0.00269462,-0.00440712,-0.00592094,-0.00648713,-0.0064253,-2.19977e-05,-2.01255e-05,-4.25406e-06,-7.31509e-06,-1.16845e-05,2.574e-05,4.72682e-05,6.25112e-05,7.03343e-05,7.35247e-05
0.32,0.0012387899999999998,-7054.71,-0.000588633,-0.00241875,-0.00421922,-0.00460546,-0.00455607,-5.48302e-05,-8.83842e-05,-0.000105656,-0.000118241,-0.000121498,2.49717e-05,4.61831e-05,6.14121e-05,6.90787e-05,7.21929e-05
0.34,-0.00043715261999999997,-6896.23,0.00253991,0.000883693,-0.000847686,-0.00116808,-0.00134021,-3.53175e-05,-0.000103735,-0.000156325,-0.000175976,-0.000180461,2.40702e-05,4.42619e-05,5.87923e-05,6.61365e-05,6.91733e-05
