time,wave_main,wave_second,wave_up,baseforce,acc_6,acc_12,acc_18,acc_24,acc_30,acc_36,acc_42,vel_6,vel_12,vel_18,vel_24,vel_30,vel_36,vel_42,dis_6,dis_12,dis_18,dis_24,dis_30,dis_36,dis_42
0.02,0.00024695475,0.00125074287,0.00287948193,-315.63436,0.000200244,0.000208874,0.000208057,0.000207778,0.000207764,0.000207769,0.000207808,2.00244e-06,2.08874e-06,2.08057e-06,2.07778e-06,2.07764e-06,2.07769e-06,2.07808e-06,9.35734e-06,1.33549e-05,1.78489e-05,2.49746e-05,3.2413e-05,3.98558e-05,3.99127e-05
0.04,-0.00020814629999999998,0.0002427812415,-0.0022389344249999998,1760.426934,-0.00145226,-0.00149265,-0.00148527,-0.00148438,-0.00148413,-0.00148417,-0.00148391,-1.05177e-05,-1.0749e-05,-1.06916e-05,-1.06882e-05,-1.0686e-05,-1.06863e-05,-1.0683e-05,9.27219e-06,1.32683e-05,1.77627e-05,2.48885e-05,3.23269e-05,3.97697e-05,3.98266e-05
0.06,0.0014860073999999998,0.0028948349700000002,0.000976018875,10490.07288,-0.00328807,-0.00382767,-0.00379103,-0.00377189,-0.0037695,-0.00376935,-0.00376867,-5.79209e-05,-6.39522e-05,-6.34547e-05,-6.32509e-05,-6.32224e-05,-6.32214e-05,-6.32088e-05,8.5878e-06,1.25212e-05,1.70213e-05,2.41491e-05,3.15878e-05,3.90306e-05,3.90877e-05
0.08,0.0037803036,-0.002440071795,-0.003254405115,7923.00521,0.00719019,0.00583494,0.00575792,0.00582781,0.00584219,0.00584365,0.0058445,-1.88996e-05,-4.38794e-05,-4.37858e-05,-4.26916e-05,-4.24955e-05,-4.24784e-05,-4.24505e-05,7.8196e-06,1.14429e-05,1.59489e-05,2.30896e-05,3.05307e-05,3.79736e-05,3.80311e-05
0.1,-0.005836694999999999,0.0015418251150000001,0.00161730894,-9275.63197,0.00335139,0.00331324,0.00268934,0.00278006,0.00282735,0.00283268,0.00283265,8.65162e-05,4.76024e-05,4.06868e-05,4.33871e-05,4.41999e-05,4.42849e-05,4.4321e-05,8.49576e-06,1.14802e-05,1.59179e-05,2.30966e-05,3.05477e-05,3.79917e-05,3.80498e-05
0.12,-0.0028410875999999997,-0.0019459988400000001,-0.0006014371349999999,-16689.43829,-0.00206776,0.00149224,0.000424383,0.000291243,0.000393619,0.000411423,0.000410633,9.93524e-05,9.56572e-05,7.18241e-05,7.41002e-05,7.64096e-05,7.67259e-05,7.67538e-05,1.03544e-05,1.29128e-05,1.7043e-05,2.42715e-05,3.17538e-05,3.92018e-05,3.92605e-05
0.14,-0.00042445719,0.002295681615,0.003230384625,-16129.79132,-0.00170758,0.00203032,0.00207856,0.00136976,0.00147824,0.00153054,0.00153399,6.15991e-05,0.000130883,9.68535e-05,9.07102e-05,9.51281e-05,9.61455e-05,9.62e-05,1.1964e-05,1.51782e-05,1.87298e-05,2.59196e-05,3.34692e-05,4.09305e-05,4.09901e-05
0.16,-0.0015465036,-0.0052971966,0.0134560491,-16101.19432,-0.00186938,-0.00188436,0.000522351,-0.000562219,-0.000674663,-0.000564529,-0.000542718,2.58295e-05,0.000132342,0.000122863,9.87856e-05,0.000103164,0.000105806,0.000106113,1.28382e-05,1.78104e-05,2.09269e-05,2.78145e-05,3.54521e-05,4.295e-05,4.30132e-05
0.18,0.0005384375999999999,0.0014527018500000001,0.00172110159,-25384.70137,0.00709047,0.00550912,0.00865513,0.00835139,0.00770038,0.00782873,0.00790018,7.80404e-05,0.00016859,0.000214637,0.000176677,0.000173421,0.000178448,0.000179687,1.38769e-05,2.08197e-05,2.43019e-05,3.05692e-05,3.8218e-05,4.57925e-05,4.58712e-05
0.2,-0.007901175,-0.0002169229665,0.00906529845,-30869.81066,-0.00623945,-0.00586266,-0.00465908,-0.00314073,-0.00427788,-0.0043221,-0.0041636,8.65506e-05,0.000165055,0.000254598,0.000228784,0.000207646,0.000213514,0.000217053,1.55229e-05,2.41562e-05,2.89943e-05,3.46238e-05,4.20286e-05,4.97122e-05,4.98386e-05
0.22,0.004173289199999999,0.003048619095,0.0107661918,-23150.14424,-0.000738897,0.000728184,0.000253761,0.0028731,0.00205569,0.00155263,0.0017654,1.67671e-05,0.00011371,0.000210545,0.000226108,0.000185424,0.000185819,0.000193071,1.6556e-05,2.69438e-05,3.36457e-05,3.91727e-05,4.59593e-05,5.37055e-05,5.39399e-05
0.24,-0.0017669969999999998,-0.001934125275,0.00277283175,-15030.75802,-0.00422877,-0.00533662,-0.00517569,-0.00331482,-0.00281572,-0.00383245,-0.00377987,-3.29096e-05,6.76255e-05,0.000161325,0.000221691,0.000177824,0.000163021,0.000172926,1.63946e-05,2.87572e-05,3.73644e-05,4.36507e-05,4.95918e-05,5.71939e-05,5.75998e-05
0.26,0.0036685167,-8.484462e-05,0.00102011832,-5186.903842,-0.000593203,-0.00421748,-0.00329124,-0.00272759,-0.000892652,-0.00192809,-0.00241538,-8.11293e-05,-2.79155e-05,7.66561e-05,0.000161266,0.00014074,0.000105416,0.000110974,1.52542e-05,2.91543e-05,3.97442e-05,4.74802e-05,5.27775e-05,5.98783e-05,6.04388e-05
0.28,0.0020735783999999997,0.00268105011,-0.0003309812025,1129.07549,0.00182948,-0.0013239,-0.00174772,-0.00129551,0.000757846,0.000514601,-0.000753576,-6.87665e-05,-8.33293e-05,2.62665e-05,0.000121036,0.000139392,9.12807e-05,7.92841e-05,1.37553e-05,2.80418e-05,4.07734e-05,5.03033e-05,5.55788e-05,6.18452e-05,6.23414e-05
0.3,0.00015165819,0.000168035004,-0.0068848572,5446.24453,-0.00183007,-0.00342351,-0.00599868,-0.00507189,-0.00365194,-0.00277342,-0.0045141,-6.87725e-05,-0.000130803,-5.11974e-05,5.73616e-05,0.000110451,6.86925e-05,2.66074e-05,1.23799e-05,2.59005e-05,4.05241e-05,5.20872e-05,5.80772e-05,6.3445e-05,6.34003e-05
0.32,0.0038750105999999997,0.00110911842,0.00533724945,1359.86775,0.00789327,0.0078739,0.00465644,0.00493339,0.00601439,0.00747369,0.00617913,-8.14048e-06,-8.62996e-05,-6.46199e-05,5.59766e-05,0.000134076,0.000115695,4.32577e-05,1.16107e-05,2.37295e-05,3.9366e-05,5.32206e-05,6.05225e-05,6.52888e-05,6.4099e-05
0.34,-0.006400347,0.001155845385,0.0156552864,-19887.73216,0.0048623,0.00682366,0.00454537,0.00306116,0.00430094,0.00557783,0.00572157,0.000119415,6.06761e-05,2.73983e-05,0.000135922,0.000237229,0.00024621,0.000162265,1.27235e-05,2.34732e-05,3.89938e-05,5.51396e-05,6.42355e-05,6.89079e-05,6.61542e-05
0.36,-0.0050474445,0.000123158217,0.01007305845,-37008.84346,0.000608281,0.0055013,0.00476873,0.00190787,0.0027738,0.00377924,0.00567602,0.000174121,0.000183926,0.000120539,0.000185612,0.000307976,0.000339781,0.000276241,1.56589e-05,2.59193e-05,4.04731e-05,5.83549e-05,6.96876e-05,7.47678e-05,7.05393e-05
0.38,-0.0039386994,0.00349419207,0.01674668385,-49831.98017,0.00084267,0.00668136,0.00812138,0.00519127,0.00453294,0.00575468,0.00886434,0.000188631,0.000305752,0.000249441,0.000256604,0.000381044,0.00043512,0.000421644,1.92864e-05,3.0816e-05,4.41729e-05,6.27771e-05,7.65778e-05,8.25168e-05,7.75181e-05
0.4,-0.006392493,-0.00930815535,0.0059200927500000005,-61048.67263,-0.00277704,0.000376925,0.00438272,0.00247074,-7.99232e-05,0.00153312,0.00501093,0.000169287,0.000376335,0.000374482,0.000333224,0.000425574,0.000507998,0.000560397,2.28655e-05,3.76369e-05,5.04121e-05,6.86754e-05,8.4644e-05,9.1948e-05,8.73385e-05
0.42,-0.0023743049999999997,0.0007119934050000001,0.0051056967,-65996.53695,-0.00040222,0.000336434,0.00569102,0.00557686,0.00197607,0.00338239,0.00668058,0.000137494,0.000383469,0.000475219,0.0004137,0.000444536,0.000557153,0.000677312,2.59333e-05,4.5235e-05,5.89092e-05,7.61446e-05,9.33451e-05,0.0001026,9.97156e-05
0.44,-0.0043480203,-0.002169706515,-0.0078878436,-68557.656988,-0.00239699,-0.00302405,0.00126655,0.00347494,0.000287881,0.000603336,0.00337861,0.000109502,0.000356593,0.000544795,0.000504218,0.000467175,0.000597011,0.000777904,2.84033e-05,5.26356e-05,6.91093e-05,8.53238e-05,0.000102462,0.000114141,0.000114268
0.46,-0.0016764872999999998,-0.00205464261,-0.0209040585,-57515.09414,-0.00751069,-0.00915908,-0.00725992,-0.00324506,-0.0045296,-0.00566218,-0.00398858,1.04252e-05,0.000234761,0.000484861,0.000506516,0.000424758,0.000546422,0.000771804,2.96026e-05,5.85491e-05,7.94058e-05,9.54311e-05,0.000111382,0.000125575,0.000129765
0.48,0.0047428776,0.00045833088,-0.032295558749999995,-40625.57676,-0.000635562,-0.0040295,-0.00414637,0.000209586,0.00171384,-0.000351949,-0.000651291,-7.10373e-05,0.000102876,0.000370798,0.000476162,0.0003966,0.000486281,0.000725405,2.89965e-05,6.19255e-05,8.79624e-05,0.000105258,0.000119595,0.000135903,0.000144737
