time,wave_main,wave_second,wave_up,baseforce,acc_top,dis_5,dis_10,dis_17,dis_24,dis_32,dis_39,dis_47,dis_54,dis_62,dis_70,dis_78,dis_86,dis_95,dis_103,dis_112,dis_120,dis_128
0.02,-0.001997264,-0.001063632,-0.010145154,-30125.7428,0.00240953,2.18E-06,7.57E-06,1.18E-05,1.52E-05,1.90E-05,2.38E-05,2.83E-05,3.18E-05,3.37E-05,3.60E-05,3.51E-05,3.37E-05,3.15E-05,3.04E-05,3.44E-05,4.12E-05,5.02E-05
0.04,-0.002410487,-0.002190884,0.000259801,-105302.6909,0.00427617,3.05E-06,8.71E-06,1.29E-05,1.64E-05,2.02E-05,2.49E-05,2.95E-05,3.30E-05,3.48E-05,3.72E-05,3.62E-05,3.49E-05,3.26E-05,3.16E-05,3.55E-05,4.24E-05,5.14E-05
0.06,-0.004282265,0.000366563,0.005812583,-99349.1582,-0.00426243,4.05E-06,1.04E-05,1.48E-05,1.83E-05,2.20E-05,2.67E-05,3.13E-05,3.48E-05,3.67E-05,3.90E-05,3.81E-05,3.67E-05,3.44E-05,3.34E-05,3.73E-05,4.42E-05,5.32E-05
0.08,0.004256639,-0.000105487,0.004091285,-75302.3815,0.000786005,4.24E-06,1.16E-05,1.64E-05,1.99E-05,2.35E-05,2.82E-05,3.28E-05,3.63E-05,3.81E-05,4.04E-05,3.95E-05,3.82E-05,3.59E-05,3.49E-05,3.88E-05,4.57E-05,5.47E-05
0.1,-0.000790343,-0.001310189,0.00988093,-17315.8981,-0.0035284,3.80E-06,1.17E-05,1.73E-05,2.09E-05,2.44E-05,2.91E-05,3.36E-05,3.71E-05,3.90E-05,4.13E-05,4.04E-05,3.90E-05,3.68E-05,3.57E-05,3.96E-05,4.65E-05,5.55E-05
0.12,0.003525309,-0.000578202,0.017775004,21612.9716,-0.000317759,3.03E-06,1.09E-05,1.73E-05,2.13E-05,2.48E-05,2.93E-05,3.38E-05,3.73E-05,3.92E-05,4.15E-05,4.06E-05,3.92E-05,3.69E-05,3.59E-05,3.98E-05,4.67E-05,5.57E-05
0.14,0.00031486,-0.003178709,0.008747204,27930.9613,0.000821367,2.34E-06,9.76E-06,1.67E-05,2.14E-05,2.48E-05,2.92E-05,3.37E-05,3.72E-05,3.90E-05,4.13E-05,4.04E-05,3.91E-05,3.68E-05,3.58E-05,3.97E-05,4.66E-05,5.56E-05
0.16,-0.000826774,0.001494936,0.005480711,54598.845,-0.00316686,1.83E-06,8.60E-06,1.57E-05,2.12E-05,2.48E-05,2.91E-05,3.34E-05,3.69E-05,3.87E-05,4.10E-05,4.01E-05,3.88E-05,3.65E-05,3.54E-05,3.94E-05,4.63E-05,5.53E-05
0.18,0.003162002,0.00186478,-0.000456914,36079.0795,0.00366981,1.42E-06,7.53E-06,1.45E-05,2.05E-05,2.46E-05,2.88E-05,3.29E-05,3.64E-05,3.82E-05,4.05E-05,3.96E-05,3.83E-05,3.60E-05,3.49E-05,3.89E-05,4.58E-05,5.47E-05
0.2,-0.003672404,-0.000713974,-0.001755166,7550.1398,-0.000287619,1.55E-06,7.15E-06,1.37E-05,2.00E-05,2.47E-05,2.90E-05,3.29E-05,3.62E-05,3.81E-05,4.04E-05,3.95E-05,3.81E-05,3.59E-05,3.48E-05,3.88E-05,4.56E-05,5.46E-05
0.22,0.000288619,0.001512779,-0.000833745,-32067.3767,0.00228042,2.10E-06,7.58E-06,1.36E-05,1.98E-05,2.52E-05,2.98E-05,3.35E-05,3.67E-05,3.85E-05,4.08E-05,3.99E-05,3.86E-05,3.63E-05,3.52E-05,3.92E-05,4.61E-05,5.50E-05
0.24,-0.00227297,-0.001251169,-0.003261189,-46612.5794,-0.000303388,2.73E-06,8.53E-06,1.41E-05,2.00E-05,2.59E-05,3.09E-05,3.46E-05,3.76E-05,3.93E-05,4.16E-05,4.07E-05,3.94E-05,3.71E-05,3.61E-05,4.00E-05,4.69E-05,5.59E-05
0.26,0.000314481,-1.13E-05,-0.004091467,-62789.4621,0.00109441,3.32E-06,9.68E-06,1.50E-05,2.04E-05,2.66E-05,3.23E-05,3.61E-05,3.88E-05,4.04E-05,4.27E-05,4.18E-05,4.05E-05,3.82E-05,3.71E-05,4.11E-05,4.80E-05,5.69E-05
0.28,-0.001084391,-2.73E-05,-0.004003989,-83148.657,0.00128069,3.91E-06,1.09E-05,1.63E-05,2.13E-05,2.75E-05,3.38E-05,3.79E-05,4.05E-05,4.18E-05,4.41E-05,4.32E-05,4.19E-05,3.96E-05,3.85E-05,4.25E-05,4.94E-05,5.84E-05
0.3,-0.001279666,-0.000241287,-0.000408128,-72833.6841,-0.00193272,4.38E-06,1.21E-05,1.78E-05,2.25E-05,2.86E-05,3.52E-05,3.98E-05,4.24E-05,4.35E-05,4.56E-05,4.47E-05,4.34E-05,4.11E-05,4.01E-05,4.40E-05,5.09E-05,5.99E-05
0.32,0.001922706,-0.002512468,0.000686555,-115077.3861,0.00501142,4.82E-06,1.32E-05,1.95E-05,2.41E-05,2.99E-05,3.67E-05,4.19E-05,4.46E-05,4.54E-05,4.74E-05,4.65E-05,4.52E-05,4.30E-05,4.19E-05,4.59E-05,5.27E-05,6.18E-05
0.34,-0.00503504,-0.001483907,-0.004455369,-189683.07,0.00274627,5.95E-06,1.51E-05,2.20E-05,2.70E-05,3.24E-05,3.92E-05,4.49E-05,4.80E-05,4.86E-05,5.03E-05,4.94E-05,4.81E-05,4.59E-05,4.48E-05,4.87E-05,5.56E-05,6.47E-05
0.36,-0.002781341,0.001102963,-0.010754888,-219419.0815,-0.00056787,7.32E-06,1.77E-05,2.54E-05,3.09E-05,3.61E-05,4.27E-05,4.88E-05,5.23E-05,5.29E-05,5.42E-05,5.32E-05,5.20E-05,4.98E-05,4.87E-05,5.27E-05,5.96E-05,6.86E-05
0.38,0.000531498,0.001684963,-0.010019214,-233653.3356,0.00214748,8.26E-06,2.01E-05,2.91E-05,3.51E-05,4.03E-05,4.66E-05,5.29E-05,5.69E-05,5.76E-05,5.87E-05,5.75E-05,5.62E-05,5.41E-05,5.30E-05,5.69E-05,6.38E-05,7.28E-05
0.4,-0.002179877,-0.000394431,-0.005719284,-228460.8377,-0.000790804,8.92E-06,2.23E-05,3.28E-05,3.96E-05,4.49E-05,5.09E-05,5.73E-05,6.17E-05,6.26E-05,6.35E-05,6.21E-05,6.08E-05,5.86E-05,5.76E-05,6.15E-05,6.84E-05,7.74E-05
